frame,x1,y1,x2,y2,label
8,154,464,180,493,2
16,157,400,184,427,
24,164,465,187,488,3
34,158,373,185,402,
43,156,460,181,485,2
51,152,384,180,412,
60,146,464,174,494,3
69,173,380,200,409,
78,197,449,228,483,2
84,204,410,232,440,
93,210,478,236,505,2
99,192,443,220,473,
103,178,462,207,493,3
109,122,424,152,455,
114,77,446,107,477,2
122,86,375,112,401,
130,91,433,117,460,2
140,105,342,126,365,
151,115,433,138,458,2
160,131,382,154,406,
167,141,430,168,457,3
178,189,318,214,344,
189,228,450,254,479,2
198,255,382,280,409,
205,270,423,298,454,3
210,254,392,283,423,
218,229,451,255,478,2
228,195,372,222,400,
236,164,444,190,471,2
242,181,406,207,432,
249,199,456,225,484,2
257,208,402,235,429,
263,213,448,243,477,2
268,195,419,226,450,
275,168,467,198,501,2
