frame,x1,y1,x2,y2,label
7,194,491,218,518,2
16,189,412,211,435,
25,182,477,203,498,3
35,168,379,192,404,
45,151,476,177,503,2
55,161,377,183,402,
66,167,474,191,501,3
76,160,380,183,403,
88,150,475,170,499,2
96,181,414,205,438,
102,205,444,234,473,3
116,157,255,181,282,
125,126,326,148,350,4
131,133,292,157,320,
139,144,350,166,374,5
147,79,291,105,317,
158,1,431,25,404,2
169,90,280,117,308,
182,196,438,223,467,3
191,89,356,117,383,
197,19,401,47,431,2
211,97,181,123,207,
229,184,486,213,518,2
235,116,438,143,468,
241,54,471,79,497,2
254,91,311,116,337,
267,136,489,163,516,3
