frame,x1,y1,x2,y2,label
4,158,500,205,549,2
13,162,410,202,452,
22,158,502,197,543,3
30,137,424,176,464,
38,117,489,155,532,2
47,117,433,154,471,
53,113,482,154,523,3
62,144,397,184,439,
71,172,491,214,533,2
78,161,438,204,484,
84,148,488,194,534,3
90,155,449,200,492,
97,162,515,211,562,2
106,178,432,223,478,
113,185,500,233,551,3
122,174,399,216,440,
131,155,484,196,525,2
144,129,269,174,314,
152,114,350,159,396,4
161,107,247,151,291,
169,99,339,146,386,4
179,135,192,185,247,
188,169,295,221,347,5
195,154,213,207,263,
204,136,330,188,380,4
214,84,175,135,224,
224,29,316,83,367,4
236,60,121,111,175,
248,92,323,142,369,5
255,81,247,126,291,
264,58,342,104,389,4
272,62,264,106,307,
286,63,532,111,581,3
