frame,x1,y1,x2,y2,label
7,212,434,249,471,2
14,215,384,247,417,
22,214,441,245,475,3
30,224,379,256,412,
37,234,425,270,462,2
46,241,366,275,399,
54,240,439,274,472,3
64,266,340,301,375,
73,282,406,319,446,2
85,184,248,219,282,
91,134,274,172,313,4
100,93,183,127,216,
115,23,397,57,431,2
125,38,305,67,337,
134,48,370,79,401,2
149,130,178,160,209,
153,152,192,183,225,6
161,149,151,180,182,
172,141,268,172,301,4
180,164,213,199,248,
187,189,262,222,295,5
197,193,158,225,192,
202,191,177,224,210,6
209,186,136,221,170,
225,169,423,205,464,2
235,140,311,172,341,
237,135,311,168,343,4
247,145,215,189,259,
253,158,254,199,289,3
